"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13286","Login test with username: ""Admin"" and expecting valid result","chromium","2026-01-05","passed","2026-01-05","Data-Driven Tests for Login Functionality","ddt.spec.ts","",""
"","7363","Login test with username: ""validuser@example.com"" and expecting invalid result","chromium","2026-01-05","passed","2026-01-05","Data-Driven Tests for Login Functionality using JSON","ddt-json.spec.ts","",""
"","3178","Validating static table data","chromium","2026-01-05","passed","2026-01-05","","staticTable.spec.ts","",""
"","4928","Validating autoSuggest Dropdown","chromium","2026-01-05","passed","2026-01-05","","handle-autosuggest-dropdown.spec.ts","",""
"","17120","Login test with username: ""invaliduser@example.com"" and expecting invalid result","chromium","2026-01-05","passed","2026-01-05","Data-Driven Tests for Login Functionality","ddt.spec.ts","",""
"","2966","Validating checkbox actions","chromium","2026-01-05","passed","2026-01-05","","xpathPractice.spec.ts","",""
"","25054","Flakey test example","chromium","2026-01-05","passed","2026-01-05","","flakey.spec.ts","",""
"","9048","Login test with username: ""validuser@example.com"" and expecting invalid result","chromium","2026-01-05","passed","2026-01-05","Data-Driven Tests for Login Functionality","ddt.spec.ts","",""
"","18246","Login test with username: ""Admin"" and expecting valid result","chromium","2026-01-05","passed","2026-01-05","Data-Driven Tests for Login Functionality using JSON","ddt-json.spec.ts","",""
"","839","get started link","chromium","2026-01-05","passed","2026-01-05","","example.spec.ts","",""
"","654","has title","chromium","2026-01-05","passed","2026-01-05","","example.spec.ts","",""
"","3186","Validating dynamic table data","chromium","2026-01-05","passed","2026-01-05","","dynamicTable.spec.ts","",""
"","14670","Validating static dropdown","chromium","2026-01-05","passed","2026-01-05","","assignment-dropdown.spec.ts","",""
"","9562","Login test with username: ""invaliduser@example.com"" and expecting invalid result","chromium","2026-01-05","passed","2026-01-05","Data-Driven Tests for Login Functionality using JSON","ddt-json.spec.ts","",""
"","17821","Validating hiden dropdown","chromium","2026-01-05","passed","2026-01-05","","hidden-bootstrap-dropdown.spec.ts","",""
"","31639","test","chromium","2026-01-05","broken","2026-01-05","","codegen.spec.ts","",""
"","8642","Login test with username: """" and expecting invalid result","chromium","2026-01-05","passed","2026-01-05","Data-Driven Tests for Login Functionality using JSON","ddt-json.spec.ts","",""
"","11282","Login test with username: """" and expecting invalid result","chromium","2026-01-05","passed","2026-01-05","Data-Driven Tests for Login Functionality","ddt.spec.ts","",""
"","3221","Verify page Title","chromium","2026-01-05","passed","2026-01-05","","test1.spec.ts","",""
"","0","Xpath demo","chromium","2026-01-05","skipped","2026-01-05","","xpathPractice.spec.ts","",""
"","0","Validating input Actions","chromium","2026-01-05","skipped","2026-01-05","","xpathPractice.spec.ts","",""
